Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,OWN,G,W,L,WR,K,D,A,KDA,CS,CSPM,G,GPM,KPAR,KS,GS,CP,rOWN,rFPTS
JNG,Pyosik (14470304),Pyosik,14470304,CPT,9900,KT@DRX 04/02/2020 05:30AM ET,DRX,0.44,0.16,30.00,19.00,11.00,0.63,2.73,1.80,6.70,5.24,189.83,5.66,11.20,334.00,0.75,0.22,0.19,10.00,0.00,0.00
JNG,Canyon (14470296),Canyon,14470296,CPT,9600,DWG@HLE 04/02/2020 04:00AM ET,DWG,0.06,0.04,29.00,13.00,16.00,0.45,1.59,2.62,6.00,2.89,180.86,5.37,10.50,312.00,0.69,0.15,0.18,10.00,0.00,0.00
JNG,Spirit (14470267),Spirit,14470267,CPT,9300,AF@APK 04/02/2020 02:00AM ET,AF,0.06,0.03,22.00,11.00,11.00,0.50,2.09,2.41,5.64,3.21,177.95,4.99,10.90,305.00,0.71,0.19,0.18,8.00,0.00,0.00
JNG,Dread (14470268),Dread,14470268,CPT,9000,AF@APK 04/02/2020 02:00AM ET,AF,0.02,0.01,9.00,4.00,5.00,0.44,1.67,2.33,4.67,2.71,164.89,4.86,9.90,293.00,0.70,0.18,0.17,5.00,0.00,0.00
JNG,SofM (14470355),SofM,14470355,CPT,9000,SN@TES 04/02/2020 05:30AM ET,SN,0.16,0.10,25.00,11.00,14.00,0.44,1.64,2.68,8.80,3.90,176.40,5.47,10.30,320.00,0.77,0.12,0.18,10.00,0.00,0.00
JNG,Haro (14470348),Haro,14470348,CPT,8700,RW@BLG 04/02/2020 04:00AM ET,RW,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JNG,Haru (14470287),Haru,14470287,CPT,8400,DWG@HLE 04/02/2020 04:00AM ET,HLE,0.04,0.02,30.00,11.00,19.00,0.37,2.03,2.83,5.00,2.48,192.93,5.83,10.80,327.00,0.75,0.22,0.20,10.00,0.00,0.00
JNG,bonO (14470311),bonO,14470311,CPT,8100,KT@DRX 04/02/2020 05:30AM ET,KT,0.15,0.11,25.00,15.00,10.00,0.60,1.36,1.84,7.00,4.54,165.72,5.26,9.90,314.00,0.80,0.13,0.18,8.00,0.00,0.00
JNG,beishang (14470224),beishang,14470224,JNG,7800,LGD@WE 04/02/2020 02:00AM ET,WE,0.77,0.24,21.00,11.00,10.00,0.52,3.19,2.52,7.14,4.09,176.29,5.65,10.80,345.00,0.73,0.22,0.20,10.00,0.00,0.00
JNG,Flawless (14470278),Flawless,14470278,CPT,7800,AF@APK 04/02/2020 02:00AM ET,APK,0.06,0.03,26.00,8.00,18.00,0.31,2.04,3.12,4.69,2.16,180.88,5.23,10.80,311.00,0.67,0.20,0.19,7.00,0.00,0.00
JNG,Karsa (14470257),Karsa,14470257,JNG,7400,SN@TES 04/02/2020 05:30AM ET,TES,0.62,0.27,20.00,12.00,8.00,0.60,2.30,2.85,7.60,3.47,165.55,5.17,0.00,0.00,0.72,0.17,0.00,8.00,0.00,0.00
JNG,Meteor (14470232),Meteor,14470232,JNG,7200,RW@BLG 04/02/2020 04:00AM ET,BLG,0.15,0.09,25.00,10.00,15.00,0.40,1.64,2.56,5.76,2.89,186.60,5.46,10.70,313.00,0.75,0.17,0.19,12.00,0.00,0.00
JNG,Peanut (14470214),Peanut,14470214,JNG,6800,LGD@WE 04/02/2020 02:00AM ET,LGD,0.37,0.10,22.00,8.00,14.00,0.36,3.68,2.55,6.32,3.93,181.09,5.51,11.10,338.00,0.73,0.27,0.19,8.00,0.11,84.22
JNG,Pyosik (14470197),Pyosik,14470197,JNG,6600,KT@DRX 04/02/2020 05:30AM ET,DRX,0.44,0.16,30.00,19.00,11.00,0.63,2.73,1.80,6.70,5.24,189.83,5.66,11.20,334.00,0.75,0.22,0.19,10.00,0.12,80.38
JNG,Canyon (14470189),Canyon,14470189,JNG,6400,DWG@HLE 04/02/2020 04:00AM ET,DWG,0.06,0.04,29.00,13.00,16.00,0.45,1.59,2.62,6.00,2.89,180.86,5.37,10.50,312.00,0.69,0.15,0.18,10.00,0.06,85.78
JNG,Spirit (14470160),Spirit,14470160,JNG,6200,AF@APK 04/02/2020 02:00AM ET,AF,0.06,0.03,22.00,11.00,11.00,0.50,2.09,2.41,5.64,3.21,177.95,4.99,10.90,305.00,0.71,0.19,0.18,8.00,0.04,57.96
JNG,Dread (14470161),Dread,14470161,JNG,6000,AF@APK 04/02/2020 02:00AM ET,AF,0.02,0.01,9.00,4.00,5.00,0.44,1.67,2.33,4.67,2.71,164.89,4.86,9.90,293.00,0.70,0.18,0.17,5.00,0.01,0.00
JNG,SofM (14470248),SofM,14470248,JNG,6000,SN@TES 04/02/2020 05:30AM ET,SN,0.16,0.10,25.00,11.00,14.00,0.44,1.64,2.68,8.80,3.90,176.40,5.47,10.30,320.00,0.77,0.12,0.18,10.00,0.11,62.14
JNG,Haro (14470241),Haro,14470241,JNG,5800,RW@BLG 04/02/2020 04:00AM ET,RW,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,98.78
JNG,Haru (14470180),Haru,14470180,JNG,5600,DWG@HLE 04/02/2020 04:00AM ET,HLE,0.04,0.02,30.00,11.00,19.00,0.37,2.03,2.83,5.00,2.48,192.93,5.83,10.80,327.00,0.75,0.22,0.20,10.00,0.01,16.34
JNG,bonO (14470204),bonO,14470204,JNG,5400,KT@DRX 04/02/2020 05:30AM ET,KT,0.15,0.11,25.00,15.00,10.00,0.60,1.36,1.84,7.00,4.54,165.72,5.26,9.90,314.00,0.80,0.13,0.18,8.00,0.05,11.74
JNG,Flawless (14470171),Flawless,14470171,JNG,5200,AF@APK 04/02/2020 02:00AM ET,APK,0.06,0.03,26.00,8.00,18.00,0.31,2.04,3.12,4.69,2.16,180.88,5.23,10.80,311.00,0.67,0.20,0.19,7.00,0.02,99.50
ADC,Jiumeng (14470332),Jiumeng,14470332,CPT,12600,LGD@WE 04/02/2020 02:00AM ET,WE,1.27,0.27,21.00,11.00,10.00,0.52,4.71,2.81,6.24,3.90,261.29,8.38,13.20,424.00,0.77,0.33,0.24,7.00,0.00,0.00
ADC,Photic (14470366),Photic,14470366,CPT,12000,SN@TES 04/02/2020 05:30AM ET,TES,1.12,0.29,20.00,12.00,8.00,0.60,3.85,2.30,6.05,4.30,268.05,8.37,0.00,0.00,0.72,0.28,0.00,5.00,0.00,0.00
ADC,Mystic (14470269),Mystic,14470269,CPT,11700,AF@APK 04/02/2020 02:00AM ET,AF,0.10,0.03,29.00,14.00,15.00,0.48,3.38,2.59,3.90,2.81,330.69,9.60,14.80,429.00,0.69,0.32,0.25,11.00,0.00,0.00
ADC,Jinjiao (14470340),Jinjiao,14470340,CPT,11400,RW@BLG 04/02/2020 04:00AM ET,BLG,0.26,0.11,25.00,10.00,15.00,0.40,2.40,2.24,4.52,3.09,306.96,8.98,13.70,402.00,0.70,0.24,0.24,6.00,0.00,0.00
ADC,Wings (14470341),Wings,14470341,CPT,11100,RW@BLG 04/02/2020 04:00AM ET,BLG,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ADC,Ghost (14470298),Ghost,14470298,CPT,10800,DWG@HLE 04/02/2020 04:00AM ET,DWG,0.81,0.11,3.00,2.00,1.00,0.67,7.33,2.67,5.00,4.63,400.00,10.33,18.90,488.00,0.69,0.41,0.26,2.00,0.06,135.57
ADC,Kramer (14470323),Kramer,14470323,CPT,10500,LGD@WE 04/02/2020 02:00AM ET,LGD,0.34,0.08,22.00,8.00,14.00,0.36,4.23,2.73,5.59,3.60,292.86,8.92,14.30,437.00,0.72,0.31,0.25,7.00,0.00,0.00
ADC,huanfeng (14470356),huanfeng,14470356,CPT,10200,SN@TES 04/02/2020 05:30AM ET,SN,0.38,0.08,23.00,11.00,12.00,0.48,4.78,2.43,5.39,4.18,314.61,9.90,14.50,457.00,0.76,0.36,0.26,7.00,0.00,0.00
ADC,Deft (14470305),Deft,14470305,CPT,9900,KT@DRX 04/02/2020 05:30AM ET,DRX,0.44,0.11,30.00,19.00,11.00,0.63,4.00,1.83,4.97,4.89,332.63,9.91,15.00,447.00,0.71,0.32,0.25,10.00,0.00,0.00
ADC,ZWuji (14470349),ZWuji,14470349,CPT,9600,RW@BLG 04/02/2020 04:00AM ET,RW,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ADC,Aiming (14470313),Aiming,14470313,CPT,9300,KT@DRX 04/02/2020 05:30AM ET,KT,0.42,0.11,29.00,15.00,14.00,0.52,3.86,1.17,3.93,6.65,315.00,9.94,14.30,450.00,0.80,0.40,0.26,10.00,0.00,0.00
ADC,HyBriD (14470280),HyBriD,14470280,CPT,9000,AF@APK 04/02/2020 02:00AM ET,APK,0.09,0.02,20.00,7.00,13.00,0.35,4.30,2.30,3.25,3.28,344.70,9.93,15.40,443.00,0.69,0.39,0.27,7.00,0.00,0.00
ADC,Jiumeng (14470225),Jiumeng,14470225,ADC,8400,LGD@WE 04/02/2020 02:00AM ET,WE,1.27,0.27,21.00,11.00,10.00,0.52,4.71,2.81,6.24,3.90,261.29,8.38,13.20,424.00,0.77,0.33,0.24,7.00,0.28,138.70
