Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,0.360000,0.360000,0.330000,0.330000,0.330000,372900
2019-11-14,0.320000,0.340000,0.300000,0.310000,0.310000,753500
2019-11-15,0.270000,0.290000,0.260000,0.270000,0.270000,798900
2019-11-18,0.290000,0.350000,0.270000,0.320000,0.320000,719700
2019-11-19,0.320000,0.400000,0.270000,0.280000,0.280000,1275700
2019-11-20,0.300000,0.330000,0.270000,0.310000,0.310000,433600
2019-11-21,0.330000,0.330000,0.280000,0.310000,0.310000,327100
2019-11-22,0.320000,0.320000,0.290000,0.300000,0.300000,470800
2019-11-25,0.210000,0.260000,0.210000,0.250000,0.250000,2389600
2019-11-26,0.240000,0.260000,0.240000,0.250000,0.250000,394300
2019-11-27,0.240000,0.270000,0.240000,0.270000,0.270000,395800
2019-11-29,0.270000,0.280000,0.260000,0.270000,0.270000,348400
2019-12-02,0.280000,0.280000,0.250000,0.260000,0.260000,423700
2019-12-03,0.260000,0.280000,0.250000,0.260000,0.260000,301600
2019-12-04,0.270000,0.270000,0.250000,0.270000,0.270000,262500
2019-12-05,0.280000,0.300000,0.260000,0.280000,0.280000,481400
2019-12-06,0.290000,0.290000,0.260000,0.260000,0.260000,351400
2019-12-09,0.260000,0.260000,0.240000,0.260000,0.260000,429500
2019-12-10,0.250000,0.260000,0.230000,0.240000,0.240000,579200
2019-12-11,0.250000,0.260000,0.230000,0.250000,0.250000,232400
2019-12-12,0.240000,0.250000,0.240000,0.240000,0.240000,277000
2019-12-13,0.240000,0.240000,0.230000,0.230000,0.230000,219300
2019-12-16,0.250000,0.250000,0.230000,0.230000,0.230000,430500
2019-12-17,0.240000,0.240000,0.220000,0.230000,0.230000,230500
2019-12-18,0.220000,0.260000,0.220000,0.240000,0.240000,1252000
2019-12-19,0.250000,0.250000,0.230000,0.240000,0.240000,552500
2019-12-20,0.240000,0.240000,0.220000,0.230000,0.230000,491300
2019-12-23,0.230000,0.230000,0.220000,0.230000,0.230000,460400
2019-12-24,0.230000,0.230000,0.220000,0.220000,0.220000,359200
2019-12-26,0.240000,0.260000,0.230000,0.250000,0.250000,1573700
2019-12-27,0.260000,0.260000,0.240000,0.250000,0.250000,846700
2019-12-30,0.250000,0.270000,0.230000,0.260000,0.260000,1872600
2019-12-31,0.260000,0.270000,0.250000,0.250000,0.250000,1513700
2020-01-02,0.270000,0.300000,0.250000,0.280000,0.280000,3532000
2020-01-03,0.280000,0.350000,0.270000,0.330000,0.330000,7423000
2020-01-06,0.320000,0.320000,0.270000,0.300000,0.300000,3749300
2020-01-07,0.300000,0.310000,0.270000,0.280000,0.280000,1795100
2020-01-08,0.290000,0.330000,0.280000,0.290000,0.290000,5001600
2020-01-09,0.300000,0.300000,0.280000,0.290000,0.290000,2510700
2020-01-10,0.280000,0.280000,0.260000,0.260000,0.260000,1870000
2020-01-13,0.270000,0.280000,0.250000,0.260000,0.260000,2642500
2020-01-14,0.260000,0.270000,0.250000,0.270000,0.270000,2342700
2020-01-15,0.270000,0.280000,0.260000,0.270000,0.270000,2942900
2020-01-16,0.280000,0.300000,0.270000,0.280000,0.280000,3798200
2020-01-17,0.280000,0.350000,0.280000,0.330000,0.330000,14113100
2020-01-21,0.330000,0.360000,0.290000,0.310000,0.310000,10492700
2020-01-22,0.310000,0.310000,0.280000,0.290000,0.290000,4124900
2020-01-23,0.280000,0.310000,0.280000,0.300000,0.300000,8329200
2020-01-24,0.310000,0.320000,0.290000,0.290000,0.290000,7813000
2020-01-27,0.290000,0.320000,0.280000,0.300000,0.300000,4292100
2020-01-28,0.300000,0.390000,0.300000,0.370000,0.370000,24273700
2020-01-29,0.350000,0.360000,0.320000,0.320000,0.320000,11094700
2020-01-30,0.330000,0.340000,0.300000,0.300000,0.300000,5924100
2020-01-31,0.320000,0.320000,0.300000,0.310000,0.310000,3445000
2020-02-03,0.320000,0.340000,0.310000,0.330000,0.330000,5980900
2020-02-04,0.290000,0.310000,0.260000,0.270000,0.270000,7866100
2020-02-05,0.260000,0.300000,0.260000,0.300000,0.300000,7260600
2020-02-06,0.290000,0.290000,0.260000,0.270000,0.270000,4602900
2020-02-07,0.270000,0.270000,0.260000,0.260000,0.260000,2400400
2020-02-10,0.260000,0.300000,0.240000,0.260000,0.260000,13260500
2020-02-11,0.230000,0.250000,0.230000,0.240000,0.240000,7217000
2020-02-12,0.210000,0.220000,0.200000,0.200000,0.200000,9142000
2020-02-13,0.210000,0.210000,0.200000,0.200000,0.200000,3440900
2020-02-14,0.200000,0.200000,0.190000,0.190000,0.190000,3466500
2020-02-18,0.200000,0.200000,0.190000,0.190000,0.190000,4544000
2020-02-19,0.200000,0.200000,0.190000,0.190000,0.190000,3836100
2020-02-20,0.190000,0.220000,0.190000,0.210000,0.210000,11801600
2020-02-21,0.210000,0.240000,0.200000,0.220000,0.220000,17743200
2020-02-24,0.220000,0.230000,0.200000,0.210000,0.210000,6588400
2020-02-25,0.220000,0.220000,0.190000,0.200000,0.200000,7177200
2020-02-26,0.200000,0.200000,0.180000,0.180000,0.180000,7730600
2020-02-27,0.160000,0.180000,0.150000,0.170000,0.170000,7644000
2020-02-28,0.170000,0.190000,0.160000,0.180000,0.180000,8101800
2020-03-02,0.180000,0.230000,0.170000,0.190000,0.190000,17749100
2020-03-03,0.210000,0.250000,0.190000,0.240000,0.240000,44323900
2020-03-04,0.250000,0.270000,0.200000,0.220000,0.220000,32946300
2020-03-05,0.210000,0.220000,0.200000,0.200000,0.200000,10294900
2020-03-06,0.200000,0.200000,0.180000,0.190000,0.190000,7938700
2020-03-09,0.170000,0.180000,0.160000,0.170000,0.170000,5729700
2020-03-10,0.170000,0.220000,0.170000,0.170000,0.170000,19202200
